0.000	0.604	4.0
0.604	7.105	3.0
7.105	8.963	1.0
8.963	20.248	1.0
20.248	20.852	0.0
20.852	34.087	0.0
34.087	96.316	0.0
96.316	126.084	0.0
126.084	140.156	0.0
140.156	149.258	0.0
149.258	271.859	0.0
271.859	289.599	0.0
289.599	299.119	0.0
299.119	309.847	0.0
309.847	330.048	0.0
330.048	421.814	1.0
421.814	710.949	1.0
710.949	729.246	1.0
729.246	738.302	1.0
738.302	817.296	1.0
817.296	820.361	0.0
820.361	822.172	0.0
822.172	832.946	0.0
832.946	891.693	0.0
891.693	905.810	0.0
905.810	955.222	0.0
955.222	961.027	0.0
961.027	988.752	0.0
988.752	1000.687	0.0
1000.687	1033.381	0.0
1033.381	1035.238	0.0
1035.238	1041.740	0.0
1041.740	1050.053	0.0
1050.053	1063.474	0.0
1063.474	1094.496	0.0
1094.496	1100.533	1.0
1100.533	1112.375	1.0
1112.375	1112.420	4.0
